,a0,a1,a2,I,b1
527,-0.00010662802326504527,-0.1503182429131701,0.21068478811885644,0.9991301187958723,0.47035386016474945
528,-0.0001417778358956276,-0.15035897827817551,0.21066638875844862,0.9991586364363865,0.47034502925264515
529,-0.00016011229481521544,-0.1503953915984022,0.2106492582793218,0.9991692987764856,0.4703977549834232
530,-0.00017561742429697522,-0.15071460232180803,0.21076153367850536,0.9991751863227002,0.470726771459987
531,-0.00013782522658362106,-0.15130463411244152,0.21093456019484524,0.9991811944546742,0.471301715564503
532,-0.00013136155722835407,-0.1512608628170135,0.21091646630895883,0.9991861255315685,0.4712593241941642
533,-0.0001103168408265732,-0.15147109139006631,0.21098809383971603,0.9991876743733311,0.47148544388719926
534,-0.0001380392273694602,-0.15162985993893074,0.2110238265784996,0.9991720224184394,0.4716407327039587
535,-0.00016811241232350945,-0.15166762765239128,0.21102670251736366,0.9991820374393622,0.4716612828008998
536,-0.00018040190142900225,-0.15164424138989493,0.21101140610007155,0.9991818653635955,0.47164189973150117
537,-0.00019680413559117676,-0.15177860025910658,0.21105843192981877,0.9991864948481605,0.47177623557441417
538,-0.00018463790113669643,-0.1518721587176258,0.2110895044551099,0.999190132536475,0.47186664844936427
539,-0.00018363128566750014,-0.1518658719173487,0.21108714824456884,0.9991905668258785,0.47186069769982236
540,-0.00019755060883400874,-0.1517657268915038,0.2110502384548761,0.9991864023801655,0.4717542902276022
541,-0.00019246416996424203,-0.15174676974316323,0.21104614438796038,0.9991860133524381,0.471736855045336
542,-0.00018767408659198288,-0.151733175183872,0.21104360170540978,0.9991864417024929,0.47172293546140054
543,-0.00018749123957174154,-0.1517323200500404,0.2110433265998103,0.9991866568229443,0.47172211824723675
544,-0.00017310938006143272,-0.15178090467998556,0.21106318909286392,0.9991662465516731,0.47178672443521774
545,-0.00014573629279165753,-0.15170024178216177,0.21106369213749854,0.9991903865418472,0.47167174319349237
546,-0.00015402309821414684,-0.1518511846013452,0.21112117662273092,0.999190532191959,0.4718149940941826
547,-0.00016879390690992924,-0.1515361296467076,0.21100724261545845,0.9991595351320364,0.4714972530259817
548,-0.00014974889575275623,-0.15123624236442942,0.2109117944067748,0.9991518193509411,0.4712360792653205
549,-0.00012762534767451168,-0.15145867418914463,0.21102888417404247,0.9991715450358806,0.4714512476251795
550,-9.712471226590817e-05,-0.15048794228988627,0.21071136450279845,0.9991846928916187,0.47051014753045556
551,-4.231924293361873e-05,-0.15144293605701106,0.2110972223288728,0.9991262291264761,0.47148285610522583
552,-5.675082340140221e-05,-0.15184290221839222,0.21122287486015826,0.9991147922464481,0.47189596640230674
553,-4.0646814665395924e-05,-0.15196127504325138,0.21125266679709306,0.999115224747308,0.47202832729297634
554,-4.5682645209310845e-05,-0.15194260702428836,0.21124367800364938,0.9991123215339197,0.47200929696075106
555,-4.19223462907704e-05,-0.15191258590373696,0.21123434700324184,0.9991153890491826,0.47198178041396993
556,-3.6441819543571054e-05,-0.1519386350378074,0.2112471067319708,0.9991096481513284,0.472011863461016
557,-4.196443656220737e-05,-0.151993038993447,0.21126115106482468,0.999096704906843,0.47207007398190226
558,-2.6965163304895014e-05,-0.15190878076015757,0.2112272223310456,0.9990958382755234,0.4720227772273178
559,-1.8184080950644707e-05,-0.15204087542197028,0.21129046399250156,0.9990880309228987,0.47215316176084693
560,-2.090537128399635e-05,-0.15213837971773914,0.2113219800283829,0.9990875395728448,0.4722529054998243
