,a0,a1,I,b1
482,-4.255261900756174e-06,0.22044067840559106,0.9991219051625629,0.4997109789838181
483,-4.594504781120154e-05,0.220399004011179,0.9991216469651142,0.49971841958119095
484,-4.924085975707877e-05,0.22039503263537064,0.9991197474843442,0.49972214225008393
485,-2.3180202805831406e-05,0.2204018582307381,0.9991234594267369,0.4997318433704967
486,-1.2138970301554461e-05,0.22041267832978748,0.9991072173628567,0.49972118684839734
487,5.138238124129807e-07,0.22041466718700858,0.9991119039426815,0.4997009826303282
488,-2.053012144595783e-05,0.22045515398998594,0.9991057120707056,0.49965181936967296
489,-3.6714299057423114e-05,0.22045052590595976,0.9991175718642463,0.49965356027445984
490,-6.0496736591896146e-05,0.22044423014367018,0.9991169569307954,0.4996772825949646
491,-7.39309092032299e-05,0.2204572959047811,0.9991091635790383,0.49966301587419415
492,-4.965060743675892e-05,0.2204569378667075,0.9991102824337399,0.49967672423558895
493,-3.093701334836753e-05,0.22047118663904516,0.9991081681851974,0.49966312780384237
494,-2.3270257887761207e-05,0.2204723901174701,0.9991134944225298,0.49966169572821384
495,-2.6655755358815855e-05,0.2204724099658383,0.9991242148504437,0.49966003439102247
496,-6.996126610619557e-05,0.2204441653243145,0.9991271015670897,0.4998261904917807
497,-0.0001144983534084789,0.22065292281265375,0.9991641363088037,0.49962337859061173
498,-0.0001226284701803925,0.22065869368471158,0.9991638207006464,0.49962413658464555
499,-0.00015477242699717987,0.22069728956786214,0.9991878374903308,0.49958704814694854
500,-0.00016242577622603387,0.22069911022276256,0.9991873757182289,0.49959087256375584
501,-0.00015607541188799277,0.22069249392042256,0.9991863161904535,0.4995977626824256
502,-0.00016489495517759464,0.22069307439479713,0.9991824574242263,0.4995983564687233
503,-0.00019591863516743363,0.22069913194746205,0.9992147446177639,0.4995813310598375
504,-0.0001886933541061439,0.22070195105405604,0.9992211792099023,0.499571998376839
505,-0.00020469902290332943,0.22072163878822088,0.9992338037051611,0.4995381849674803
506,-0.00016315776113426297,0.2207605583931945,0.9992581988797627,0.4994703426384715
507,-0.00016422463901200404,0.22076142108024613,0.9992575010151653,0.49946873923321633
508,-0.00018700772821644406,0.2207438876321847,0.9992399280082988,0.49947106373417693
509,-0.00018263406867827583,0.22074809828306716,0.9992425672346671,0.49947054541918806
510,-0.00019311264412234276,0.2207338204632665,0.9992520157008201,0.4994788315649933
511,-0.00018369875234221754,0.22074282436131715,0.9992547112462089,0.49946163886019107
512,-0.0001986443628686557,0.22075936007621247,0.9992587146835304,0.49944052496528213
513,-0.00022418328054078958,0.2207525198260154,0.999271420013534,0.49945619874196
514,-0.00024128867450303078,0.22076050911560102,0.9992689444898089,0.49945640159696386
515,-0.00024634292540168246,0.22076412342561866,0.9992689154502357,0.4994521034560007
516,-0.00024380339748921072,0.22076431449600661,0.9992707402375636,0.49945207651923734
517,-0.0002502418785095186,0.22076373527898857,0.9992677334020891,0.49944778342190166
518,-0.0002429191950235601,0.2207715271418695,0.9992629567026353,0.4994429781912474
519,-0.00023581570875942127,0.22077631282459148,0.9992687242116329,0.4994343593004273
520,-0.00019352096119553113,0.22074871237932722,0.9992901310486075,0.4994997109042387
521,-0.00017891369765133096,0.22076528608708926,0.9992890212432723,0.4994899493614818
522,-0.00017579609187136705,0.2207678467869327,0.9992881550128279,0.4994871335503188
523,-0.00020171857916219654,0.22076799434025857,0.9992939488848136,0.49949452505302744
524,-0.00018306274294741746,0.22075996970096243,0.999270512855031,0.4994956434710772
525,-0.00016982365530634948,0.22075292420293458,0.9992631387421541,0.49948491031547537
526,-0.00015747432416042366,0.2207306618631447,0.999272411417394,0.499501500444709
527,-0.00014535597544901475,0.22072141436345846,0.9992822836836143,0.49951965565600526
528,-0.00016419375821194633,0.22070619152761276,0.9992553902601432,0.4995185506136727
529,-0.00019856220011363855,0.22066026740139483,0.999283487134401,0.49951508112605486
530,-0.00021534784399526545,0.22062312263531375,0.9992934254343496,0.4995674656957313
531,-0.0002245579286838089,0.22063303767402642,0.9992976363450166,0.4995635181059225
532,-0.00018919829267020558,0.2205981661769546,0.999304336934809,0.4995827907504582
533,-0.000181346003092853,0.22059310551030867,0.9993101874122459,0.49958974150399266
534,-0.00016279232855086548,0.2205976648076492,0.9993119671454574,0.4995985691130836
535,-0.00018871841737960228,0.22057190894332235,0.9992973884639098,0.49962031935479745
536,-0.00021798989464770317,0.22056234092762397,0.9993072753720449,0.49961303736236984
537,-0.00023059946212479823,0.2205523210577216,0.9993069876148946,0.4996272834697652
538,-0.0002444429891264345,0.2205575945343166,0.999311275521214,0.4996218493806197
539,-0.00023406507805528304,0.22055709376700955,0.9993145409579637,0.49961946106725796
540,-0.00023166944328172762,0.22055620871252235,0.9993155445250829,0.49962119609093153
541,-0.0002479303016983698,0.22054935920005084,0.9993104347689435,0.49962103714712236
542,-0.00024194857361306728,0.2205531201399744,0.9993099300037941,0.4996191697092895
543,-0.00023647356096487965,0.2205559548932656,0.9993104028400883,0.49961598628699944
544,-0.0002354246434898271,0.22055592598317875,0.9993116444310861,0.49961624310884717
545,-0.0002215363432235308,0.22056037307344362,0.999292104491999,0.4996270932263033
546,-0.0001939564437834409,0.220601116887729,0.9993168021946017,0.4995516529613216
