,a0,a1,I,b1,b2,b3
604,-0.00018600998857438685,0.221105162794645,0.9990539629004206,0.49922837209332416,0.2496048290481821,0.24973351843200509
605,-0.00015804563609587248,0.2211613048935105,0.9990158078709203,0.4992052564044026,0.24953187841177735,0.24971055107775578
606,-0.00013163352358309087,0.22116905644614548,0.9990278551564066,0.49916377862562405,0.24955766039531677,0.24967731972722432
607,-0.00012684046831871326,0.22115413509773235,0.9990283272368334,0.49918103057131075,0.24956226307226997,0.2496892204867964
608,-0.0001263823076460206,0.22115569644911853,0.9990276449307953,0.4991793973764922,0.24956136788654557,0.24968796726788844
609,-0.0001306889451922681,0.22117159577920978,0.9990226219175051,0.49916899659371416,0.24955063055671983,0.24967903939373032
610,-0.00012180409024122561,0.22118064595980158,0.9990306498337562,0.49917026078515925,0.24953321817866506,0.24967348721116017
611,-0.00010831578906795713,0.22117513514042797,0.9990261846095694,0.49918787777327234,0.24955316659955068,0.24965915393853733
612,-0.0001320852766668124,0.22125910613860716,0.9990192482060153,0.4991107883304453,0.2494714473748971,0.24959655589142987
613,-0.00011740155810623055,0.221299652065039,0.9990247045211765,0.49907407777534407,0.24943801790139108,0.24959175046621973
614,-8.689986145573063e-05,0.22138631827108707,0.9990038235112272,0.49899779146019074,0.24938408873588372,0.24954823570897036
615,-8.706842727332527e-05,0.2213863393558489,0.9990040669904972,0.498997914098126,0.24938401048957143,0.24954816948575553
616,-7.899400288493338e-05,0.22139608400511446,0.9989924131299046,0.4989746136663281,0.2493699279418385,0.24954727802880527
617,-6.140631920356285e-05,0.22142314877640049,0.9989666677365802,0.49891813038352106,0.24931970158987615,0.24952034352760535
618,-6.993555809242744e-05,0.22144336364176745,0.9989658622227782,0.4989102008440809,0.24931960657950955,0.24952693843258444
619,-1.7768634418001243e-05,0.2211686602049112,0.9990744903514772,0.49920142374241816,0.2494458981790066,0.2495554774230498
620,-5.27314184801779e-06,0.22111021527534205,0.999085250823956,0.499284915748222,0.24949157663145308,0.24956273931836803
621,-1.1397115994360614e-05,0.22113560904780546,0.9990775393090348,0.4992539977320107,0.24946181333143067,0.2495509312001707
622,-1.4822570409504625e-05,0.22113486016346884,0.9990786052872298,0.4992508910693051,0.24945934640246542,0.24954520877036285
623,-1.2988950698776015e-05,0.2211443652005909,0.9990772511132784,0.4992406406235991,0.249454598245663,0.24954292048884136
624,-8.12607097826993e-06,0.2211599844634337,0.9990772889844415,0.4992215891288242,0.24944125106600407,0.24954264243119803
625,7.865990521176494e-06,0.22122590548462934,0.999073275050234,0.4991559118619448,0.24938211992705764,0.24950907918513396
626,2.4924632945936068e-05,0.22121213461943326,0.9991012481554156,0.49916961023278567,0.24939192687571402,0.2495034785678479
627,2.3337535119355955e-05,0.22121509387808957,0.999101582671649,0.4991640979416393,0.24938979834455566,0.24950228432904656
628,2.9192178795192127e-05,0.221213680905751,0.999101390466666,0.49916414147944493,0.24940014637492675,0.24950272733486648
629,3.450623684930591e-05,0.22121350058204217,0.9990998482332949,0.49916395170743727,0.24939904380072592,0.24951128496187888
630,2.9441157317984003e-05,0.22119072221323613,0.9990979967573667,0.49918799887295273,0.24941580475945166,0.24952178593374102
631,2.1761817287037875e-05,0.22119236457206065,0.9990976204864681,0.4991829274784945,0.2494167059872011,0.2495212445364699
632,2.4912914825710175e-06,0.22119326922276655,0.9991108477118685,0.4991826541008573,0.24940718887455243,0.24952638541893166
633,4.808974283111028e-07,0.2211952351325056,0.9991099201444769,0.499181946752449,0.24940584571474705,0.24952465726819495
634,2.8076210208933736e-05,0.2212264333296958,0.9991221335439386,0.49916431250669935,0.24936637899718522,0.24951064556393668
635,5.582792009017033e-06,0.221225633870859,0.9990997495134653,0.4991522776738507,0.2493562696257424,0.24952400337554037
636,1.1581446799283426e-05,0.22121500702410113,0.999098836050351,0.499168828708634,0.2493673757469465,0.24953120691325473
637,1.9372924045988303e-05,0.22122560362498284,0.9990881016895691,0.49915557752722595,0.24936765994079851,0.24953112377030862
638,2.1161341024751416e-05,0.22122872345197137,0.9990884283818033,0.4991500462832798,0.24936479297050299,0.24953170580088158
639,4.5080945919103756e-05,0.22130331434804287,0.9991012900134444,0.49908175516441744,0.24927869797896732,0.24949341261359476
640,4.6185542216511076e-05,0.2213027738214395,0.999101501939227,0.4990829763722424,0.24927937267462763,0.24949215824429616
641,3.14762505610462e-05,0.22136010999149205,0.9990955647088169,0.499022115083467,0.24922910066645582,0.24946480667548832
642,3.1805124232655614e-05,0.22136018148219824,0.9990956383261063,0.49902216422143697,0.24922912878427572,0.24946495843583052
643,1.2385030722211407e-05,0.22133100847615905,0.9990810685185175,0.49904533851365834,0.2492431924918161,0.24947208186289488
644,1.0081143600374105e-05,0.22132905872949796,0.9990823146025222,0.4990456249615072,0.24924387087064334,0.24947202757768336
645,3.183913980226837e-05,0.22135685594461307,0.9990594067064392,0.4990032920930001,0.249240071999483,0.24946757299981853
646,4.529790786193637e-05,0.2213740510957256,0.9990493748240773,0.49897064904071575,0.24921848413503525,0.2494709249089044
647,8.060614782729163e-05,0.22145765618019406,0.999067958178763,0.4988634595619151,0.24911769478383258,0.24941338807450514
648,5.846777760120606e-05,0.2214902971707451,0.9990611205923792,0.4988174330377314,0.24910937206111425,0.24942485544757814
649,4.933297813737147e-05,0.22152213971521723,0.9990657859248608,0.498783404102329,0.24908082635408854,0.24941833585819018
650,4.896150395998153e-05,0.22152304381425883,0.9990658207028051,0.49878270569141386,0.24908008373111734,0.24941775395388843
651,5.220882383430523e-05,0.2215274354768957,0.9990654492377289,0.49877786087469667,0.249075182215973,0.24941665645033564
652,6.187204930284494e-05,0.22153622904973014,0.999056020788056,0.4987670181242682,0.2490674551087767,0.24940772158663024
653,6.786039686346342e-05,0.22152812179303016,0.9990486932729135,0.49876831561718127,0.24907198030973282,0.24941013365316778
654,7.253158455526338e-05,0.22152508017503436,0.9990541553752846,0.49876639386228483,0.24906903937073224,0.2494104180668049
655,7.050727330609654e-05,0.22152608153158446,0.9990571954485987,0.49876331810201024,0.24907052428863993,0.24941235011484306
656,7.911488197094498e-05,0.22149660255421716,0.9990654611009724,0.49878111153474236,0.24910036467267999,0.24941531734281722
