,a0,a1,a2,a3,I,b1,b2,b3
425,-1.534969757130758e-05,0.08095042255074539,-0.18104475540456533,0.22003858687227051,0.9992227608540476,0.4993155235746894,0.25072770006865186,0.25067492986582784
426,-1.4803719140327881e-05,0.08095083906479358,-0.18104179117267444,0.22003788708285849,0.999222812451414,0.4993152818722474,0.2507233101581732,0.25067333787445323
427,-2.511426316909038e-05,0.08104170839353841,-0.18106720873119997,0.22000030068283113,0.999219910673093,0.49922312053655704,0.2506929922207176,0.2507373054812053
428,-1.826079631306668e-05,0.0810115836974008,-0.18108504032277362,0.22000423972338354,0.9992100533113184,0.4992544392613872,0.25072799268102847,0.2507511745989287
429,-3.151974475847433e-05,0.08093930681643088,-0.1810084047462078,0.22002341770274358,0.9992134710741187,0.49934620726861106,0.25069058106697834,0.2506968535229186
430,-1.5493355807836423e-05,0.08101312057013618,-0.18098301563190644,0.2199589963137868,0.9992219250003511,0.49926919999627706,0.2506010493083607,0.2507390681209781
431,9.777340522088701e-06,0.08092359665277646,-0.18097441147849808,0.22000297059515067,0.9992176858033648,0.49937060957881724,0.2506427143049061,0.2506642826196537
432,-5.6984073473625996e-06,0.08095197638538999,-0.18096645795095367,0.22001372905610833,0.9992262320498924,0.49934573474402316,0.2506119035008704,0.25064466904286786
433,3.0278083326708283e-05,0.08098477410289404,-0.1810839870155933,0.2200139090689913,0.9992145309390366,0.49929173793359954,0.25070364549921975,0.2507222409832048
434,3.51323007629703e-05,0.08100665874886093,-0.18108773197597575,0.22000279768040437,0.99921527909897,0.49926834474264997,0.25069205272854617,0.2507318651666295
435,4.3954227525264816e-05,0.08099732664216089,-0.18107388973217275,0.21999968350852722,0.9992105055211277,0.49927839773085947,0.2506816663979717,0.25072250222286274
436,1.8712464219885344e-05,0.08106741310115066,-0.18105231240419853,0.2199713078288304,0.9992462645359381,0.49922655201561006,0.2506169776238361,0.2507348506677808
437,2.6782939004186407e-05,0.08107953530021286,-0.18106843349749974,0.21996576456695527,0.9992416333857981,0.49920223194721974,0.2506198409476264,0.2507495427659157
438,6.254848838905397e-05,0.08114853863811472,-0.1810696338984743,0.21991756526799083,0.9992741681800871,0.49911686468777666,0.25053018267936694,0.25076134095308544
439,7.381932597701896e-05,0.08112274201303614,-0.18105397823127525,0.2199119453280804,0.9992954801753567,0.4991544101608967,0.25052478067964545,0.25074514378942026
440,9.311597547761313e-05,0.08104668162221235,-0.181082457069156,0.21992227705604647,0.9992933453374365,0.4992669250694516,0.250617415944294,0.25075251180952585
441,0.0001307141446608498,0.08112386496668147,-0.18122896394843038,0.21987674394098009,0.9993015069644845,0.49918640966985395,0.25078962836101604,0.25091303170650336
442,0.00010092239217384183,0.08094965847182468,-0.18117325673297408,0.21994063932657548,0.9992987509887334,0.4993545478351954,0.25083480555294374,0.2507868035350841
443,0.00010498048360855355,0.08096371978052067,-0.18116808805630347,0.21993963332483246,0.9992972757622645,0.4993406661907625,0.2508227198080601,0.25078264202303835
444,0.0001202096819940407,0.0809242151178189,-0.18110551113478326,0.21995096057675523,0.999292242611467,0.4993740379765918,0.2507836341254732,0.2507447272351156
445,0.00010708676770399342,0.08096849693364636,-0.1811039206966702,0.21991111727337592,0.9992852078389078,0.4993333482404628,0.2507624934649701,0.25077709180278684
446,8.398703044687483e-05,0.08092435963005282,-0.18110591575117355,0.21992210790496333,0.9992919697028341,0.4993647176366618,0.2507991612925419,0.25078058319760727
447,7.10669806308177e-05,0.0809431494042368,-0.18112721112697666,0.21992199194506679,0.9993000698677039,0.4993505796406666,0.25080212590403417,0.25079603477686296
448,8.028340712422366e-05,0.08092041582911762,-0.18113288376333636,0.21993267073928358,0.9992968047081627,0.49936712309358955,0.25081743410647117,0.25079698831102426
449,6.752233270861802e-05,0.08088450786697608,-0.1811093239582575,0.21993668723445553,0.999292184328295,0.4994070034219074,0.25082357626826873,0.25078811517157584
450,6.42889872346751e-05,0.08088322108781543,-0.18111697586779718,0.21994190377378603,0.9992885251683401,0.49940677264991573,0.250832930195253,0.25078978251759454
